iter	Passed	Remaining
0	1	120
1	1	97
2	2	91
3	3	81
4	4	76
5	4	72
6	5	70
7	5	68
8	6	67
9	7	66
10	8	64
11	8	63
12	9	62
13	9	61
14	10	59
15	11	59
16	11	58
17	12	58
18	13	57
19	14	57
20	15	59
21	16	58
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	43
39	28	43
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	42	30
58	43	30
59	44	29
60	45	28
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	51	24
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	76	0
