iter	Passed	Remaining
0	144	144065
1	145	72710
2	147	48930
3	150	37362
4	152	30383
5	156	25896
6	158	22473
7	160	19864
8	161	17806
9	163	16190
10	165	14899
11	166	13748
12	168	12783
13	169	11965
14	171	11230
15	172	10588
16	173	10010
17	174	9515
18	175	9052
19	176	8639
20	177	8296
21	179	7976
22	180	7685
23	181	7398
24	183	7145
25	184	6922
26	185	6698
27	186	6489
28	187	6293
29	188	6105
30	189	5930
31	190	5765
32	192	5643
33	194	5530
34	196	5404
35	197	5282
36	198	5167
37	199	5053
38	200	4941
39	201	4836
40	202	4733
41	203	4636
42	204	4545
43	205	4461
44	206	4379
45	208	4325
46	210	4264
47	211	4197
48	212	4131
49	214	4066
50	214	3999
51	215	3935
52	216	3874
53	217	3816
54	219	3763
55	220	3709
56	221	3656
57	222	3620
58	224	3586
59	226	3544
60	227	3500
61	228	3456
62	229	3416
63	230	3376
64	232	3337
65	232	3296
66	233	3257
67	235	3223
68	237	3206
69	239	3175
70	240	3144
71	241	3113
72	242	3081
73	243	3050
74	244	3018
75	245	2988
76	247	2963
77	248	2931
78	248	2902
79	249	2873
80	250	2844
81	252	2824
82	253	2798
83	254	2777
84	256	2758
85	257	2737
86	258	2713
87	260	2694
88	260	2671
89	261	2647
90	262	2625
91	264	2606
92	265	2587
93	267	2575
94	268	2562
95	270	2548
96	271	2531
97	273	2514
98	274	2495
99	275	2475
100	276	2456
101	277	2438
102	278	2421
103	279	2404
104	280	2387
105	281	2376
106	283	2365
107	285	2354
108	286	2341
109	287	2326
110	288	2310
111	289	2296
112	290	2283
113	292	2271
114	293	2257
115	294	2242
116	295	2227
117	298	2228
118	300	2222
119	301	2213
120	303	2205
121	304	2192
122	305	2180
123	307	2169
124	308	2159
125	309	2150
126	311	2142
127	313	2133
128	315	2127
129	316	2119
130	318	2111
131	320	2108
132	321	2097
133	323	2088
134	324	2077
135	326	2072
136	328	2066
137	329	2058
138	331	2054
139	333	2047
140	335	2043
141	336	2031
142	337	2021
143	338	2012
144	339	2003
145	341	1999
146	344	1997
147	345	1990
148	347	1982
149	348	1975
150	350	1968
151	351	1959
152	352	1951
153	353	1942
154	355	1935
155	356	1931
156	358	1926
157	360	1919
158	361	1912
159	362	1905
160	363	1894
161	364	1886
162	366	1881
163	367	1874
164	368	1867
165	370	1862
166	372	1857
167	374	1853
168	375	1847
169	377	1841
170	378	1836
171	380	1831
172	381	1825
173	383	1822
174	386	1821
175	388	1819
176	390	1814
177	391	1808
178	393	1802
179	394	1797
180	396	1792
181	397	1786
182	400	1788
183	402	1783
184	403	1777
185	405	1773
186	406	1768
187	407	1762
188	409	1756
189	410	1749
190	411	1742
191	412	1735
192	414	1733
193	416	1730
194	418	1726
195	419	1722
196	421	1717
197	422	1711
198	423	1705
199	424	1699
200	425	1692
201	427	1690
202	430	1689
203	431	1685
204	433	1681
205	434	1676
206	436	1670
207	437	1664
208	438	1658
209	439	1652
210	440	1647
211	441	1641
212	443	1638
213	444	1634
214	446	1631
215	448	1627
216	449	1622
217	450	1617
218	451	1611
219	453	1606
220	454	1600
221	455	1595
222	456	1589
223	457	1585
224	460	1586
225	462	1583
226	463	1580
227	465	1576
228	466	1571
229	468	1566
230	469	1561
231	470	1556
232	471	1552
233	473	1548
234	474	1544
235	476	1542
236	477	1538
237	479	1533
238	480	1528
239	481	1523
240	482	1518
241	483	1513
242	484	1509
243	485	1504
244	487	1501
245	488	1498
246	490	1494
247	491	1491
248	493	1489
249	495	1485
250	496	1481
251	498	1479
252	500	1476
253	504	1480
254	507	1483
255	511	1486
256	515	1489
257	516	1486
258	518	1484
259	521	1483
260	523	1481
261	525	1481
262	527	1478
263	530	1478
264	534	1483
265	536	1480
266	538	1477
267	542	1482
268	546	1484
269	547	1480
270	549	1478
271	551	1476
272	553	1473
273	555	1471
274	557	1468
275	562	1474
276	564	1472
277	566	1470
278	567	1467
279	570	1465
280	572	1463
281	574	1461
282	576	1459
283	577	1457
284	579	1452
285	580	1448
286	581	1444
287	582	1439
288	585	1441
289	587	1438
290	589	1436
291	590	1432
292	592	1430
293	594	1428
294	595	1424
295	597	1420
296	598	1417
297	602	1419
298	604	1417
299	606	1414
300	607	1411
301	609	1408
302	610	1404
303	611	1400
304	613	1396
305	615	1395
306	617	1393
307	619	1391
308	620	1388
309	622	1384
310	623	1381
311	624	1377
312	625	1373
313	626	1369
314	629	1368
315	631	1366
316	633	1364
317	634	1361
318	636	1358
319	637	1355
320	639	1352
321	640	1349
322	642	1345
323	644	1343
324	657	1365
325	659	1363
326	662	1362
327	663	1359
328	665	1356
329	666	1352
330	667	1348
331	668	1344
332	669	1340
333	670	1337
334	671	1333
335	673	1330
336	675	1328
337	677	1326
338	678	1323
339	680	1320
340	681	1316
341	682	1313
342	683	1310
343	685	1306
344	686	1303
345	687	1299
346	689	1297
347	691	1296
348	693	1293
349	694	1289
350	696	1288
351	697	1284
352	698	1281
353	700	1277
354	701	1274
355	703	1271
356	705	1271
357	707	1268
358	709	1266
359	710	1263
360	712	1260
361	713	1257
362	715	1255
363	716	1252
364	719	1252
365	721	1250
366	723	1247
367	724	1244
368	726	1241
369	728	1239
370	729	1237
371	731	1234
372	733	1232
373	734	1230
374	736	1227
375	738	1225
376	740	1223
377	741	1220
378	742	1217
379	744	1214
380	745	1211
381	747	1208
382	749	1206
383	750	1204
384	752	1201
385	753	1199
386	755	1196
387	756	1194
388	758	1191
389	760	1188
390	761	1186
391	763	1184
392	765	1182
393	766	1179
394	768	1176
395	769	1173
396	770	1170
397	771	1167
398	772	1164
399	773	1160
400	774	1157
401	776	1154
402	778	1153
403	780	1150
404	781	1148
405	782	1145
406	783	1141
407	784	1138
408	785	1135
409	786	1132
410	787	1129
411	789	1126
412	790	1122
413	791	1120
414	793	1118
415	794	1115
416	795	1112
417	797	1110
418	798	1107
419	799	1104
420	800	1101
421	801	1098
422	802	1094
423	803	1091
424	804	1088
425	806	1086
426	808	1084
427	810	1082
428	811	1079
429	812	1077
430	813	1074
431	814	1071
432	816	1068
433	817	1065
434	818	1063
435	819	1060
436	820	1056
437	822	1054
438	823	1052
439	825	1050
440	826	1047
441	827	1044
442	828	1041
443	829	1038
444	830	1036
445	831	1033
446	832	1030
447	833	1027
448	835	1024
449	837	1023
450	838	1020
451	840	1018
452	841	1016
453	842	1013
454	843	1010
455	844	1007
456	845	1004
457	846	1002
458	848	999
459	849	996
460	851	995
461	852	993
462	854	990
463	855	988
464	856	985
465	858	983
466	859	981
467	860	978
468	861	975
469	862	972
470	864	970
471	866	969
472	868	967
473	869	964
474	870	962
475	872	960
476	873	957
477	874	954
478	875	952
479	876	949
480	878	947
481	879	945
482	881	943
483	883	941
484	884	939
485	885	936
486	886	933
487	887	931
488	889	929
489	890	927
490	891	924
491	893	922
492	894	919
493	895	917
494	897	915
495	899	913
496	900	911
497	901	908
498	903	906
499	904	904
500	905	901
501	906	899
502	907	896
503	909	894
504	911	893
505	912	891
506	914	889
507	916	888
508	918	886
509	920	883
510	921	881
511	922	879
512	923	877
513	926	875
514	928	874
515	929	871
516	930	869
517	932	867
518	933	865
519	934	862
520	936	860
521	937	858
522	938	855
523	940	854
524	942	852
525	944	850
526	945	848
527	947	846
528	948	844
529	949	842
530	950	839
531	951	837
532	952	834
533	953	832
534	955	830
535	957	828
536	958	826
537	960	824
538	962	823
539	963	820
540	964	818
541	966	816
542	967	814
543	969	812
544	971	810
545	972	808
546	974	806
547	976	805
548	977	802
549	978	800
550	980	798
551	981	796
552	982	794
553	984	792
554	985	790
555	987	788
556	988	786
557	990	784
558	991	781
559	992	779
560	993	777
561	994	775
562	995	772
563	996	770
564	997	768
565	999	766
566	1000	764
567	1002	762
568	1003	760
569	1004	758
570	1006	755
571	1007	753
572	1008	751
573	1009	749
574	1010	746
575	1011	744
576	1012	742
577	1015	741
578	1016	739
579	1018	737
580	1019	735
581	1020	733
582	1021	730
583	1022	728
584	1023	726
585	1024	724
586	1025	721
587	1026	719
588	1028	717
589	1029	715
590	1031	713
591	1033	712
592	1034	710
593	1035	708
594	1036	705
595	1037	703
596	1039	701
597	1040	699
598	1041	697
599	1043	695
600	1045	694
601	1047	692
602	1048	690
603	1049	688
604	1050	685
605	1051	683
606	1052	681
607	1053	679
608	1055	677
609	1056	675
610	1057	673
611	1059	671
612	1060	669
613	1062	667
614	1063	665
615	1064	663
616	1066	661
617	1067	659
618	1068	657
619	1069	655
620	1070	653
621	1071	651
622	1073	649
623	1075	648
624	1077	646
625	1078	644
626	1079	642
627	1080	640
628	1081	637
629	1082	635
630	1083	633
631	1084	631
632	1086	629
633	1087	627
634	1088	625
635	1090	624
636	1091	622
637	1093	620
638	1094	618
639	1095	616
640	1096	614
641	1097	612
642	1098	610
643	1100	608
644	1101	606
645	1102	604
646	1104	602
647	1105	600
648	1106	598
649	1108	596
650	1109	594
651	1111	593
652	1112	590
653	1113	588
654	1114	587
655	1115	585
656	1117	583
657	1119	582
658	1121	580
659	1122	578
660	1124	576
661	1125	574
662	1126	572
663	1127	570
664	1128	568
665	1129	566
666	1130	564
667	1132	562
668	1133	561
669	1135	559
670	1137	557
671	1138	555
672	1139	553
673	1141	551
674	1142	549
675	1143	548
676	1144	546
677	1145	544
678	1147	542
679	1148	540
680	1150	538
681	1151	536
682	1152	535
683	1154	533
684	1155	531
685	1156	529
686	1158	527
687	1159	525
688	1160	523
689	1161	521
690	1163	520
691	1164	518
692	1166	516
693	1167	514
694	1168	512
695	1170	511
696	1171	509
697	1172	507
698	1173	505
699	1174	503
700	1175	501
701	1177	499
702	1178	498
703	1180	496
704	1181	494
705	1182	492
706	1184	490
707	1185	488
708	1186	486
709	1187	485
710	1188	483
711	1189	481
712	1191	479
713	1192	477
714	1194	476
715	1195	474
716	1197	472
717	1198	470
718	1199	468
719	1200	467
720	1201	465
721	1202	463
722	1203	461
723	1204	459
724	1206	457
725	1208	456
726	1209	454
727	1212	452
728	1213	451
729	1214	449
730	1215	447
731	1216	445
732	1217	443
733	1218	441
734	1219	439
735	1221	438
736	1223	436
737	1225	434
738	1226	433
739	1227	431
740	1228	429
741	1229	427
742	1230	425
743	1231	423
744	1232	422
745	1234	420
746	1235	418
747	1237	416
748	1238	415
749	1240	413
750	1241	411
751	1242	409
752	1244	408
753	1245	406
754	1246	404
